epoch,acc,loss,val_acc,val_loss
0,0.12,0.11770342743396758,0.09223300970873786,0.09311599566519839
1,0.13,0.09180464726686478,0.14320388349514562,0.09179585723622331
2,0.15,0.09112953299283981,0.1262135922330097,0.09159405334192572
3,0.142,0.09083133453130722,0.13592233009708737,0.09134536171422421
4,0.168,0.09065295886993409,0.15776699029126215,0.09126842571693716
5,0.172,0.09043917727470398,0.15776699029126215,0.09113440865162507
6,0.174,0.09028257709741593,0.1407766990291262,0.09100339315759326
7,0.19,0.09005025976896286,0.1553398058252427,0.09084355635839758
8,0.188,0.08987682342529296,0.1650485436893204,0.09081606197993732
9,0.208,0.08971439039707184,0.16019417475728157,0.09063994197301495
